,_startDate,_endDate,_value
97194,2020-05-04 10:35:24 +0200,2020-05-04 10:35:30 +0200,
97195,2020-05-04 10:36:35 +0200,2020-05-04 10:50:29 +0200,
97196,2020-05-05 15:46:22 +0200,2020-05-05 15:46:26 +0200,
97197,2020-05-05 15:47:24 +0200,2020-05-05 16:10:10 +0200,
97198,2020-05-05 16:17:39 +0200,2020-05-05 16:17:42 +0200,
97199,2020-05-08 19:05:22 +0200,2020-05-08 19:06:11 +0200,
97200,2020-05-08 19:07:09 +0200,2020-05-08 19:12:44 +0200,
97201,2020-05-29 13:12:29 +0200,2020-05-29 13:12:33 +0200,
97202,2020-05-29 13:12:54 +0200,2020-05-29 13:20:20 +0200,
